年度,經濟成長率,平均每人GDP（美元）,失業率
1995,6.50,13315,1.79
1996,6.18,13826,2.6
1997,6.05,14163,2.72
1998,4.20,12911,2.69
1999,6.73,13929,2.92
2000,6.31,15105,2.99
2001,-1.40,13647,4.57
2002,5.48,13990,5.17
2003,4.22,14481,4.99
2004,6.95,15797,4.44
2005,5.38,16846,4.13
2006,5.77,17346,3.91
2007,6.85,18189,3.91
2008,0.80,18503,4.14
2009,-1.61,17460,5.85
2010,10.25,19765,5.21
2011,3.67,21410,4.39
2012,2.22,21922,4.24
2013,2.48,22552,4.18
2014,4.72,23492,3.96
2015,1.47,23367,3.78
2016,2.17,23684,3.92
2017,3.31,25704,3.76
2018,2.79,26421,3.71
2019,2.96,26594,3.73
